"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Token balance","Token balance UI","As user when I navigate back and forward, data should be maintained","0","0","1","0","0"
"Token balance","Total value service","As user when empty wallet I want to details calculation of past value for 1h, 24h, 7d in quote and percentage value","0","0","1","0","0"
"Token balance","Token balance UI","As user I want to see balance component for ETH","0","0","1","0","0"
"Token balance","Total value service","As user I want see proper calculation of my wallet with coins at the top of balance page","0","0","1","0","0"
"Token balance","Token balance UI","As user in system I am able to open explorer page for AVAX wallet address that has been provided","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see symbol name value for token balance","0","0","1","0","0"
"Token balance","Token balance UI","As user I want to see balance component for MATIC","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see color red indication for lower 1h, 24h, 7d, 30d, 60d, 90d past values","0","0","1","0","0"
"Token balance","Total value service","As user when multiple wallets I want to details calculation of past value for 1h, 24h, 7d in quote and percentage value","0","0","1","0","0"
"Token balance","Token balance UI","As user in system I am able to open explorer page for MATIC wallet address that has been provided","0","0","1","0","0"
"Token balance","Total value service","As user when no empty I want to details calculation of past value for 1h, 24h, 7d in quote and percentage value","0","0","1","0","0"
"Token balance","Total value service","As user I want see proper calculation of my multiple wallets with coins at the top of balance page","0","0","1","0","0"
"Token balance","Total value service","As user for total diff values I want to see color indication for lower past value in quote and percentage value","0","0","1","0","0"
"Token balance","Total value service","As user I want see proper calculation of my wallet without coins at the top of balance page","0","0","1","0","0"
"Token balance","Token balance UI","As user in system I am able to open explorer page for ETH wallet address that has been provided","0","0","1","0","0"
"Token balance","Token balance UI","As user when I refresh the balance page, data should be maintained","0","0","1","0","0"
"Token balance","Total value service","As user I want see proper calculation of my wallet without and with coins at the top of balance page","0","0","1","0","0"
"Token balance","Token balance UI","As user I can scroll down page when I provide multiple wallets","0","0","1","0","0"
"Token balance","Total value service","As user for total diff values I want to see color indication for higher past value in quote and percentage value","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see addresses that I provided on the /wallet page","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see color green indication for higher 1h, 24h, 7d, 30d, 60d, 90d past values","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see total amount value for token balance","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see total asset value for token balance","0","0","1","0","0"
"Token balance","Token balance UI","As user I can switch view of wallet balance details","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see wallets counter","0","0","1","0","0"
"Token balance","Token balance UI","As user I want to see balance component for AVAX","0","0","1","0","0"
